data.type,age,d13C,formation,member,taxon,sample.id,reference,notes
enamel,3.38,-7.7,Hadar,SidiHakoma,Australopithecus,A.L.411–1,"Wynn et al., 2013",
enamel,3.38,-7.2,Hadar,SidiHakoma,Australopithecus,A.L.423–1,"Wynn et al., 2013",
paleosol,3.36,-6.88,Hadar,SidiHakoma,NA,59,Aronson et al. (2008),
paleosol,3.36,-7.33,Hadar,SidiHakoma,NA,58,Aronson et al. (2008),
paleosol,3.34,-8.56,Hadar,SidiHakoma,NA,HC-30,Aronson et al. (2008),
paleosol,3.31,-6.96,Hadar,SidiHakoma,NA,22,Aronson et al. (2008),
paleosol,3.31,-9.25,Hadar,SidiHakoma,NA,44,Aronson et al. (2008),
paleosol,3.31,-8.11,Hadar,SidiHakoma,NA,40,Aronson et al. (2008),
paleosol,3.31,-7.81,Hadar,SidiHakoma,NA,HC-31,Aronson et al. (2008),
paleosol,3.31,-7.86,Hadar,SidiHakoma,NA,42,Aronson et al. (2008),
enamel,3.305,-2.6,Hadar,SidiHakoma,Kolpochoerus,A.L. 229,"Wynn et al., 2016",
enamel,3.305,1.3,Hadar,SidiHakoma,Reduncini,A.L. 261,"Wynn et al., 2016",
enamel,3.305,1.2,Hadar,SidiHakoma,Reduncini,A.L. 263,"Wynn et al., 2016",
paleosol,3.28,-8.39,Hadar,SidiHakoma,NA,HC-4,Aronson et al. (2008),
paleosol,3.28,-8.35,Hadar,SidiHakoma,NA,HPS-8,Aronson et al. (2008),
enamel,3.23,-4.3,Hadar,DenenDora,Australopithecus,A.L.207–17,"Wynn et al., 2013",
enamel,3.23,-8.6,Hadar,DenenDora,Australopithecus,A.L.333–52,"Wynn et al., 2013",
enamel,3.23,-10.7,Hadar,DenenDora,Australopithecus,A.L.293–3,"Wynn et al., 2013",
enamel,3.23,-6.4,Hadar,DenenDora,Australopithecus,A.L.309–8,"Wynn et al., 2013",
enamel,3.23,-4.3,Hadar,DenenDora,Australopithecus,A.L.432–1,"Wynn et al., 2013",
enamel,3.2,-0.4,Hadar,DenenDora,Aepycerotini,A.L. 1703,"Wynn et al., 2016",
enamel,3.2,-3.9,Hadar,DenenDora,Aepycerotini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,0.2,Hadar,DenenDora,Aepycerotini,A.L. 114,"Wynn et al., 2016",
enamel,3.2,-2.2,Hadar,DenenDora,Aepycerotini,A.L. 341,"Wynn et al., 2016",
enamel,3.2,-1,Hadar,DenenDora,Aepycerotini,A.L. 333,"Wynn et al., 2016",
enamel,3.2,0.3,Hadar,DenenDora,Aepycerotini,A.L. 341,"Wynn et al., 2016",
enamel,3.2,-2.1,Hadar,DenenDora,Aepycerotini,A.L. 285,"Wynn et al., 2016",
enamel,3.2,0.1,Hadar,DenenDora,Aepycerotini,A.L. 1693,"Wynn et al., 2016",
enamel,3.2,0.6,Hadar,DenenDora,Aepycerotini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,0.7,Hadar,DenenDora,Alcelaphini,A.L. 133,"Wynn et al., 2016",
enamel,3.2,2.6,Hadar,DenenDora,Alcelaphini,A.L. 181,"Wynn et al., 2016",
enamel,3.2,0.9,Hadar,DenenDora,Alcelaphini,A.L. 115,"Wynn et al., 2016",
enamel,3.2,1.9,Hadar,DenenDora,Alcelaphini,A.L. 181,"Wynn et al., 2016",
enamel,3.2,2.2,Hadar,DenenDora,Alcelaphini,A.L. 136,"Wynn et al., 2016",
enamel,3.2,2.8,Hadar,DenenDora,Alcelaphini,A.L. 114,"Wynn et al., 2016",
enamel,3.2,0.6,Hadar,DenenDora,Alcelaphini,A.L. 241,"Wynn et al., 2016",
enamel,3.2,1.8,Hadar,DenenDora,Alcelaphini,A.L. 155,"Wynn et al., 2016",
enamel,3.2,0.5,Hadar,DenenDora,Alcelaphini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,0.8,Hadar,DenenDora,Alcelaphini,A.L. 114,"Wynn et al., 2016",
enamel,3.2,-0.8,Hadar,DenenDora,Bovini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,-0.2,Hadar,DenenDora,Bovini,A.L. 1305,"Wynn et al., 2016",
enamel,3.2,-0.6,Hadar,DenenDora,Bovini,A.L. 279,"Wynn et al., 2016",
enamel,3.2,1.2,Hadar,DenenDora,Bovini,A.L. 291,"Wynn et al., 2016",
enamel,3.2,-1.6,Hadar,DenenDora,Bovini,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-2.3,Hadar,DenenDora,Bovini,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-13.7,Hadar,DenenDora,Deinotherium,A.L. 1348,"Wynn et al., 2016",
enamel,3.2,-13.1,Hadar,DenenDora,Deinotherium,A.L. 1348,"Wynn et al., 2016",
enamel,3.2,-12.2,Hadar,DenenDora,Deinotherium,A.L. 425,"Wynn et al., 2016",
enamel,3.2,-12.5,Hadar,DenenDora,Deinotherium,A.L. 1075,"Wynn et al., 2016",
enamel,3.2,-11.9,Hadar,DenenDora,Deinotherium,A.L. 1075,"Wynn et al., 2016",
enamel,3.2,-9.3,Hadar,DenenDora,Deinotherium,A.L. 1348,"Wynn et al., 2016",
enamel,3.2,-11.8,Hadar,DenenDora,Deinotherium,A.L. 1075,"Wynn et al., 2016",
enamel,3.2,-2.3,Hadar,DenenDora,Elephas,A.L. 241,"Wynn et al., 2016",
enamel,3.2,0.5,Hadar,DenenDora,Elephas,A.L. 58,"Wynn et al., 2016",
enamel,3.2,-5.4,Hadar,DenenDora,Elephas,A.L. 241,"Wynn et al., 2016",
enamel,3.2,-0.6,Hadar,DenenDora,Elephas,A.L. 341,"Wynn et al., 2016",
enamel,3.2,-0.6,Hadar,DenenDora,Elephas,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-1.6,Hadar,DenenDora,Eurygnathohippus,A.L. 59,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-0.9,Hadar,DenenDora,Eurygnathohippus,A.L. 58,"Wynn et al., 2016",
enamel,3.2,0.4,Hadar,DenenDora,Eurygnathohippus,A.L. 161,"Wynn et al., 2016",
enamel,3.2,-1.3,Hadar,DenenDora,Eurygnathohippus,A.L. 58,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,1.3,Hadar,DenenDora,Eurygnathohippus,A.L. 114,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,1.3,Hadar,DenenDora,Eurygnathohippus,A.L. 303,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,-0.7,Hadar,DenenDora,Eurygnathohippus,A.L. 58,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,-1.6,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.2,-1.5,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,-0.8,Hadar,DenenDora,Eurygnathohippus,A.L. 155,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.2,-1.6,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,-1.8,Hadar,DenenDora,Eurygnathohippus,A.L. 155,"Wynn et al., 2016",member based on proximity to AL 333
enamel,3.2,-0.8,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-0.2,Hadar,DenenDora,Eurygnathohippus,A.L. 207,"Wynn et al., 2016",
enamel,3.2,-1.6,Hadar,DenenDora,Eurygnathohippus,A.L. 321,"Wynn et al., 2016",
enamel,3.2,-1,Hadar,DenenDora,Eurygnathohippus,A.L. 321,"Wynn et al., 2016",
enamel,3.2,0.5,Hadar,DenenDora,Eurygnathohippus,A.L. 335,"Wynn et al., 2016",
enamel,3.2,-2.1,Hadar,DenenDora,Eurygnathohippus,A.L. 239,"Wynn et al., 2016",
enamel,3.2,0.6,Hadar,DenenDora,Eurygnathohippus,A.L. 161,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Eurygnathohippus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-1.8,Hadar,DenenDora,Eurygnathohippus,A.L. 239,"Wynn et al., 2016",
enamel,3.2,-9.6,Hadar,DenenDora,Giraffa,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-10.3,Hadar,DenenDora,Giraffa,A.L. 333,"Wynn et al., 2016",
enamel,3.2,-11.4,Hadar,DenenDora,Giraffa,A.L. 114,"Wynn et al., 2016",
enamel,3.2,-11.5,Hadar,DenenDora,Giraffa,A.L. 114,"Wynn et al., 2016",
enamel,3.2,-12.7,Hadar,DenenDora,Giraffa,A.L. 115,"Wynn et al., 2016",
enamel,3.2,-9.1,Hadar,DenenDora,Giraffa,A.L. 207,"Wynn et al., 2016",
enamel,3.2,-2,Hadar,DenenDora,Hippopotamidae,A.L. 56,"Wynn et al., 2016",
enamel,3.2,-4.3,Hadar,DenenDora,Kolpochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Kolpochoerus,A.L. 321,"Wynn et al., 2016",
enamel,3.2,-5.6,Hadar,DenenDora,Kolpochoerus,A.L. 183,"Wynn et al., 2016",
enamel,3.2,-9.5,Hadar,DenenDora,Kolpochoerus,A.L. 321,"Wynn et al., 2016",
enamel,3.2,-1.7,Hadar,DenenDora,Kolpochoerus,A.L. 1323,"Wynn et al., 2016",
enamel,3.2,-0.8,Hadar,DenenDora,Notochoerus,A.L. 321,"Wynn et al., 2016",
enamel,3.2,-1.5,Hadar,DenenDora,Notochoerus,A.L. 285,"Wynn et al., 2016",
enamel,3.2,-2.5,Hadar,DenenDora,Notochoerus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-4.6,Hadar,DenenDora,Notochoerus,A.L. 342,"Wynn et al., 2016",
enamel,3.2,-1.8,Hadar,DenenDora,Notochoerus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-1.2,Hadar,DenenDora,Notochoerus,A.L. 342,"Wynn et al., 2016",
enamel,3.2,-0.7,Hadar,DenenDora,Notochoerus,A.L. 342,"Wynn et al., 2016",
enamel,3.2,-0.4,Hadar,DenenDora,Notochoerus,A.L. 243,"Wynn et al., 2016",
enamel,3.2,-2.6,Hadar,DenenDora,Notochoerus,A.L. 318,"Wynn et al., 2016",
enamel,3.2,-1.3,Hadar,DenenDora,Notochoerus,A.L. 167,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Notochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-3.1,Hadar,DenenDora,Notochoerus,A.L. 207,"Wynn et al., 2016",
enamel,3.2,-1.7,Hadar,DenenDora,Notochoerus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-0.2,Hadar,DenenDora,Notochoerus,A.L. 207,"Wynn et al., 2016",
enamel,3.2,-4.1,Hadar,DenenDora,Notochoerus,A.L. 58,"Wynn et al., 2016",
enamel,3.2,-0.8,Hadar,DenenDora,Notochoerus,A.L. 342,"Wynn et al., 2016",
enamel,3.2,-0.4,Hadar,DenenDora,Notochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-1.8,Hadar,DenenDora,Notochoerus,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-0.6,Hadar,DenenDora,Notochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-0.5,Hadar,DenenDora,Notochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-1.1,Hadar,DenenDora,Notochoerus,A.L. 182,"Wynn et al., 2016",
enamel,3.2,-2.5,Hadar,DenenDora,Reduncini,A.L. 155,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Reduncini,A.L. 333,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Reduncini,A.L. 382,"Wynn et al., 2016",
enamel,3.2,1.7,Hadar,DenenDora,Reduncini,A.L. 182,"Wynn et al., 2016",
enamel,3.2,0.8,Hadar,DenenDora,Reduncini,A.L. 340,"Wynn et al., 2016",
enamel,3.2,1.5,Hadar,DenenDora,Reduncini,A.L. 340,"Wynn et al., 2016",
enamel,3.2,-2.4,Hadar,DenenDora,Reduncini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,-3,Hadar,DenenDora,Reduncini,A.L. 133,"Wynn et al., 2016",
enamel,3.2,2.1,Hadar,DenenDora,Reduncini,A.L. 155,"Wynn et al., 2016",
enamel,3.2,-2.6,Hadar,DenenDora,Reduncini,A.L. 133,"Wynn et al., 2016",
enamel,3.2,-4.1,Hadar,DenenDora,Reduncini,A.L. 155,"Wynn et al., 2016",
enamel,3.2,-1.6,Hadar,DenenDora,Reduncini,A.L. 382,"Wynn et al., 2016",
enamel,3.2,0.1,Hadar,DenenDora,Reduncini,A.L. 382,"Wynn et al., 2016",
enamel,3.2,-3.3,Hadar,DenenDora,Reduncini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,0.5,Hadar,DenenDora,Reduncini,A.L. 382,"Wynn et al., 2016",
enamel,3.2,0,Hadar,DenenDora,Reduncini,A.L. 167,"Wynn et al., 2016",
enamel,3.2,0.7,Hadar,DenenDora,Reduncini,A.L. 340,"Wynn et al., 2016",
enamel,3.2,0.8,Hadar,DenenDora,Reduncini,A.L. 285,"Wynn et al., 2016",
enamel,3.2,3.1,Hadar,DenenDora,Reduncini,A.L. 279,"Wynn et al., 2016",
enamel,3.2,-1.4,Hadar,DenenDora,Reduncini,A.L. 279,"Wynn et al., 2016",
enamel,3.2,-0.2,Hadar,DenenDora,Reduncini,A.L. 210,"Wynn et al., 2016",
enamel,3.2,1.7,Hadar,DenenDora,Reduncini,A.L. 239,"Wynn et al., 2016",
enamel,3.2,-0.3,Hadar,DenenDora,Reduncini,A.L. 279,"Wynn et al., 2016",
enamel,3.2,-2.5,Hadar,DenenDora,Theropithecus,A.L. 183,"Wynn et al., 2016",
enamel,3.2,-2.2,Hadar,DenenDora,Theropithecus,A.L. 391,"Wynn et al., 2016",
enamel,3.2,-5.1,Hadar,DenenDora,Theropithecus,A.L. 153,"Wynn et al., 2016",
enamel,3.2,-3.7,Hadar,DenenDora,Theropithecus,A.L. 153,"Wynn et al., 2016",
enamel,3.2,-4.6,Hadar,DenenDora,Theropithecus,A.L. 329,"Wynn et al., 2016",
enamel,3.2,-2.5,Hadar,DenenDora,Theropithecus,A.L. 161,"Wynn et al., 2016",
enamel,3.2,-0.9,Hadar,DenenDora,Theropithecus,A.L. 58,"Wynn et al., 2016",
enamel,3.2,-4.2,Hadar,DenenDora,Theropithecus,A.L. 153,"Wynn et al., 2016",
enamel,3.2,0.3,Hadar,DenenDora,Theropithecus,A.L. 1690,"Wynn et al., 2016",
enamel,3.2,-5.5,Hadar,DenenDora,Tragelaphini,A.L. 239,"Wynn et al., 2016",
enamel,3.2,-7.9,Hadar,DenenDora,Tragelaphini,A.L. 153,"Wynn et al., 2016",
enamel,3.2,-3.9,Hadar,DenenDora,Tragelaphini,A.L. 153,"Wynn et al., 2016",
paleosol,3.2,-5.72,Hadar,DenenDora,NA,8.1,Aronson et al. (2008),
paleosol,3.2,-5.79,Hadar,DenenDora,NA,10,Aronson et al. (2008),
paleosol,3.2,-6.85,Hadar,DenenDora,NA,3,Aronson et al. (2008),
paleosol,3.2,-7.69,Hadar,DenenDora,NA,16,Aronson et al. (2008),
paleosol,3.2,-6.84,Hadar,DenenDora,NA,15,Aronson et al. (2008),
paleosol,3.2,-5.52,Hadar,DenenDora,NA,14,Aronson et al. (2008),
paleosol,3.2,-5.49,Hadar,DenenDora,NA,12,Aronson et al. (2008),
paleosol,3.18,-6.78,Hadar,DenenDora,NA,17,Aronson et al. (2008),
paleosol,3.18,-8.81,Hadar,DenenDora,NA,HPS-29,Aronson et al. (2008),
enamel,3.16,-13.4,Hadar,KadaHadar,Deinotherium,A.L. 1235,"Wynn et al., 2016",
enamel,3.16,-4.6,Hadar,KadaHadar,Theropithecus,A.L. 700,"Wynn et al., 2016",
enamel,3.16,-5.9,Hadar,KadaHadar,Theropithecus,A.L. 430,"Wynn et al., 2016",
paleosol,3.08,-8.38,Hadar,KadaHadar,NA,53,Aronson et al. (2008),
paleosol,3.08,-7.2,Hadar,KadaHadar,NA,27B,Aronson et al. (2008),
paleosol,3.08,-6.66,Hadar,KadaHadar,NA,18,Aronson et al. (2008),
enamel,3.03,1.1,Hadar,KadaHadar,Aepycerotini,A.L. 1251,"Wynn et al., 2016",
enamel,3.03,-1.8,Hadar,KadaHadar,Aepycerotini,A.L. 1256,"Wynn et al., 2016",
enamel,3.03,-1.1,Hadar,KadaHadar,Aepycerotini,A.L. 1251,"Wynn et al., 2016",
enamel,3.03,0.8,Hadar,KadaHadar,Aepycerotini,A.L. 1251,"Wynn et al., 2016",
enamel,3.03,1.2,Hadar,KadaHadar,Aepycerotini,A.L. 1251,"Wynn et al., 2016",
enamel,3.03,1.2,Hadar,KadaHadar,Aepycerotini,A.L. 664,"Wynn et al., 2016",
enamel,3.03,-0.1,Hadar,KadaHadar,Aepycerotini,A.L. 479,"Wynn et al., 2016",
enamel,3.03,0.3,Hadar,KadaHadar,Aepycerotini,A.L. 450,"Wynn et al., 2016",
enamel,3.03,0.4,Hadar,KadaHadar,Aepycerotini,A.L. 463,"Wynn et al., 2016",
enamel,3.03,1.4,Hadar,KadaHadar,Aepycerotini,A.L. 450,"Wynn et al., 2016",
enamel,3.03,1.4,Hadar,KadaHadar,Aepycerotini,A.L. 1511,"Wynn et al., 2016",
enamel,3.03,-8,Hadar,KadaHadar,Aepycerotini,A.L. 870,"Wynn et al., 2016",
enamel,3.03,0.9,Hadar,KadaHadar,Alcelaphini,A.L. 444,"Wynn et al., 2016",
enamel,3.03,-2.1,Hadar,KadaHadar,Antilopini,A.L. 491,"Wynn et al., 2016",
enamel,3.03,-3.9,Hadar,KadaHadar,Antilopini,A.L. 479,"Wynn et al., 2016",
enamel,3.03,-6.2,Hadar,KadaHadar,Antilopini,A.L. 479,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-1.5,Hadar,KadaHadar,Antilopini,A.L. 713,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-5,Hadar,KadaHadar,Antilopini,A.L. 858,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,1.2,Hadar,KadaHadar,Bovini,A.L. 722,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-14,Hadar,KadaHadar,Deinotherium,A.L. 180,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-12.3,Hadar,KadaHadar,Deinotherium,A.L. 180,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-10.9,Hadar,KadaHadar,Deinotherium,A.L. 438,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-10.2,Hadar,KadaHadar,Deinotherium,A.L. 438,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-13.2,Hadar,KadaHadar,Deinotherium,A.L. 180,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
enamel,3.03,-13.2,Hadar,KadaHadar,Deinotherium,A.L. 180,"Wynn et al., 2016",member based on matching up sample numbers to localities (which then can be placed in members based on Fig. 2) in Aronson et al. 2008 Table 2
